"DisplayName","DisplayVersion","Publisher","InstallLocation","InstallDate"
"Antidote - Connectix 12","12.3.537","Druide informatique inc.","C:\Program Files\Druide\Connectix 12\","20260201"
"Antidote 12","12.3.537","Druide informatique inc.","C:\Program Files\Druide\Antidote 12\","20260201"
"Antidote 12 - English module","12.3.537","Druide informatique inc.","C:\Program Files\Druide\Antidote 12\","20260201"
"Antidote 12 - Module français","12.3.537","Druide informatique inc.","C:\Program Files\Druide\Antidote 12\","20260201"
"Bang & Olufsen Audio","9.0.278.150","Conexant",,
"Canva","1.122.0","Canva Pty Ltd",,
"Docker Desktop","4.43.2","Docker Inc.","C:\Program Files\Docker\Docker",
"FFmpeg","7.1.1","Gyan","C:\Users\celin\AppData\Local\Microsoft\WinGet\Packages\Gyan.FFmpeg_Microsoft.Winget.Source_8wekyb3d8bbwe","20250727"
"FFmpeg (Essentials Build)","7.1.1","Gyan","C:\Users\celin\AppData\Local\Microsoft\WinGet\Packages\Gyan.FFmpeg.Essentials_Microsoft.Winget.Source_8wekyb3d8bbwe","20250727"
"FFmpeg (Shared)","7.1.1","Gyan","C:\Users\celin\AppData\Local\Microsoft\WinGet\Packages\Gyan.FFmpeg.Shared_Microsoft.Winget.Source_8wekyb3d8bbwe","20250727"
"Git","2.54.0","The Git Development Community","C:\Program Files\Git\","20260428"
"GitHub","1.0","Google\Chrome",,"20260513"
"Google Chrome","149.0.7827.103","Google LLC","C:\Program Files\Google\Chrome\Application","20260611"
"IntelliJ IDEA 2026.1","261.22158.277","JetBrains s.r.o.","C:\Program Files\JetBrains\IntelliJ IDEA 2026.1",
"Java(TM) SE Development Kit 21.0.10 (64-bit)","21.0.10.0","Oracle Corporation","C:\Program Files\Java\jdk-21.0.10\","20260413"
"Logiciel Thunderbolt™","17.4.77.400","Intel Corporation","","20231223"
"Microsoft .NET Framework 4.8 SDK","4.8.03928","Microsoft Corporation","","20240404"
"Microsoft .NET Framework 4.8 Targeting Pack","4.8.03761","Microsoft Corporation","","20240404"
"Microsoft 365 - fr-fr","16.0.20026.20140","Microsoft Corporation","C:\Program Files\Microsoft Office",
"Microsoft Edge","149.0.4022.62","Microsoft Corporation","C:\Program Files (x86)\Microsoft\Edge\Application","20260610"
"Microsoft Edge WebView2 Runtime","149.0.4022.62","Microsoft Corporation","C:\Program Files (x86)\Microsoft\EdgeWebView\Application","20260611"
"Microsoft OneDrive","26.095.0519.0003","Microsoft Corporation",,
"Microsoft Teams Meeting Add-in for Microsoft Office","1.24.31301","Microsoft","","20250227"
"Microsoft Update Health Tools","5.72.0.0","Microsoft Corporation","","20240514"
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.44.35211","14.44.35211.0","Microsoft Corporation",,
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.44.35211","14.44.35211.0","Microsoft Corporation",,
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","","20250707"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","","20250707"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","","20250707"
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","","20250707"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.60910","Microsoft Corporation","c:\Program Files\Common Files\Microsoft Shared\VSTO\10.0\",
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64) Language Pack - FRA","10.0.60910","Microsoft Corporation","","20240404"
"Microsoft Visual Studio Code (User)","1.123.2","Microsoft Corporation","C:\Users\celin\AppData\Local\Programs\Microsoft VS Code\","20260610"
"Microsoft Web Deploy 4.0","10.0.9419","Microsoft Corporation","","20250707"
"Module linguistique Microsoft Visual Studio 2010 Tools pour Office Runtime (x64) - FRA","10.0.60910","Microsoft Corporation","c:\Program Files\Common Files\Microsoft Shared\VSTO\10.0\",
"MySQL Installer","1.6.16.0","Oracle Corporation","","20260413"
"Nmap 7.99","7.99","Nmap Project","C:\Program Files (x86)\Nmap",
"NotebookLM","1.0","Google\Chrome",,"20251214"
"Notepad++ (64-bit x64)","8.6.5","Notepad++ Team",,
"Npcap","1.87","Nmap Project","C:\Program Files\Npcap",
"Odoo 18.0","18.0","Odoo S.A.","C:\Program Files\Odoo 18.0.20241203",
"Office 16 Click-to-Run Extensibility Component","16.0.20026.20076","Microsoft Corporation","","20260603"
"Office 16 Click-to-Run Localization Component","16.0.20026.20140","Microsoft Corporation","","20260606"
"Ollama version 0.30.6","0.30.6","Ollama","C:\Users\celin\AppData\Local\Programs\Ollama\","20260609"
"PowerShell 7.5.5.0-x64","7.5.5.0","Microsoft Corporation",,
"PowerShell 7-preview-x64","7.6.0.101","Microsoft Corporation","","20260330"
"PowerShell 7-x64","7.5.5.0","Microsoft Corporation","","20260325"
"Python 3.13.5 (64-bit)","3.13.5150.0","Python Software Foundation",,
"Python 3.13.5 Add to Path (64-bit)","3.13.5150.0","Python Software Foundation","","20250707"
"Python 3.13.5 Core Interpreter (64-bit)","3.13.5150.0","Python Software Foundation","","20250707"
"Python 3.13.5 Development Libraries (64-bit)","3.13.5150.0","Python Software Foundation","","20250707"
"Python 3.13.5 Documentation (64-bit)","3.13.5150.0","Python Software Foundation","","20250707"
"Python 3.13.5 Executables (64-bit)","3.13.5150.0","Python Software Foundation","","20250707"
"Python 3.13.5 pip Bootstrap (64-bit)","3.13.5150.0","Python Software Foundation","","20250707"
"Python 3.13.5 Standard Library (64-bit)","3.13.5150.0","Python Software Foundation","","20250707"
"Python 3.13.5 Tcl/Tk Support (64-bit)","3.13.5150.0","Python Software Foundation","","20250707"
"Python 3.13.5 Test Suite (64-bit)","3.13.5150.0","Python Software Foundation","","20250707"
"Python Launcher","3.13.5150.0","Python Software Foundation","","20250707"
"Realtek Fingerprint","10.103.22621.143","Realtek Semiconductor Corp.","C:\Program Files (x86)\Realtek\Realtek Fingerprint","20260610"
"Spotify","1.2.90.451.gb094aab0","Spotify AB","C:\Users\celin\AppData\Roaming\Spotify","20260523"
"Unity Hub 2.4.4","2.4.4","Unity Technologies Inc.",,
"Update for Windows 10 for x64-based Systems (KB5001716)","8.94.0.0","Microsoft Corporation","","20240314"
"VMware Workstation","17.6.1","VMware, Inc.","","20250130"
"vs_CoreEditorFonts","17.7.40001","Microsoft Corporation","","20240404"
"WD Discovery","5.3.819","Western Digital Technologies, Inc.","C:\Program Files (x86)\Western Digital\Discovery\Current","20260609"
"WD SES Driver Setup","2.1.0","Western Digital","","20260609"
"Windows SDK AddOn","10.1.0.0","Microsoft Corporation","","20240404"
"Windows Subsystem for Linux","2.3.26.0","Microsoft Corporation","","20241113"
"Windows Subsystem for Linux Update","5.10.102.1","Microsoft Corporation","","20240404"
"Workflow Manager Client 1.0","2.1.10525.2","Microsoft Corporation","C:\Program Files\Reference Assemblies\Microsoft\Workflow Manager\1.0\","20240404"
"Zoom Workplace","7.0.5 (38856)","Zoom Communications, Inc.","C:\Users\celin\AppData\Roaming\Zoom\bin",
